POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON
Number / Driver and Team,,,,,,
1,11,01:28.8,-,-,177.65,16:17:25
2,,,,,,
R. StanekInvicta Racing,,,,,,
2,9,01:28.9,0.146,0.146,177.358,16:25:42
1,,,,,,
L. FornaroliInvicta Racing,,,,,,
3,12,01:29.0,0.173,0.027,177.304,16:18:49
11,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,
4,12,01:29.0,0.25,0.077,177.151,16:18:00
7,,,,,,
L. BrowningHitech TGR,,,,,,
5,11,01:29.1,0.313,0.063,177.025,16:18:29
20,,,,,,
J. DürksenAIX Racing,,,,,,
6,12,01:29.1,0.358,0.045,176.936,16:17:32
5,,,,,,
O. GoetheMP Motorsport,,,,,,
7,12,01:29.2,0.374,0.016,176.904,16:18:19
14,,,,,,
V. MartinsART Grand Prix,,,,,,
8,12,01:29.2,0.434,0.06,176.785,16:17:29
4,,,,,,
A. LindbladCampos Racing,,,,,,
9,13,01:29.2,0.467,0.033,176.72,16:18:23
17,,,,,,
A. DunneRodin Motorsport,,,,,,
10,12,01:29.3,0.522,0.055,176.611,16:21:30
3,,,,,,
J. MartíCampos Racing,,,,,,
11,10,01:29.4,0.578,0.056,176.501,16:17:40
6,,,,,,
R. VerschoorMP Motorsport,,,,,,
12,11,01:29.4,0.625,0.047,176.408,16:22:18
10,,,,,,
G. MinìPREMA Racing,,,,,,
13,13,01:29.4,0.64,0.015,176.378,16:18:16
16,,,,,,
A. CordeelRodin Motorsport,,,,,,
14,12,01:29.5,0.729,0.089,176.203,16:05:36
8,,,,,,
D. BeganovicHitech TGR,,,,,,
15,13,01:29.6,0.824,0.095,176.016,16:21:12
24,,,,,,
J. BennettVan Amersfoort Racing,,,,,,
16,13,01:29.6,0.827,0.003,176.01,16:17:49
25,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,
17,14,01:29.7,0.916,0.089,175.835,16:18:25
15,,,,,,
R. MiyataART Grand Prix,,,,,,
18,11,01:29.8,0.987,0.071,175.696,16:05:01
9,,,,,,
S. MontoyaPREMA Racing,,,,,,
19,13,01:29.8,1.023,0.036,175.626,16:21:35
22,,,,,,
S. MeguetounifTRIDENT,,,,,,
20,14,01:29.9,1.147,0.124,175.384,16:05:17
12,,,,,,
K. MainiDAMS Lucas Oil,,,,,,
21,13,01:30.0,1.192,0.045,175.296,16:25:09
23,,,,,,
M. EstersonTRIDENT,,,,,,
22,13,01:30.7,1.955,0.763,173.822,16:05:08
21,,,,,,
C. ShieldsAIX Racing,,,,,,
,,,,,,
