POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,20,38:16.1,-,-,193.212,01:46.6,11
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
2,20,38:16.6,0.578,0.578,193.164,01:46.6,20
3,,,,,,,
J. MartíCampos Racing,,,,,,,
3,20,38:18.1,2.087,1.509,193.037,01:46.6,15
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
4,20,38:19.6,3.492,-,192.919,01:46.3,19
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
5,20,38:19.6,3.532,0.04,192.916,01:47.3,20
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
6,20,38:20.3,4.254,0.722,192.855,01:47.0,20
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
7,20,38:20.5,4.403,0.149,192.843,01:47.5,19
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
8,20,38:21.7,5.601,1.198,192.742,01:47.5,19
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
9,20,38:22.2,6.185,0.584,192.693,01:47.4,7
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
10,20,38:22.7,6.672,0.487,192.652,01:47.6,20
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
11,20,38:23.4,7.361,0.689,192.595,01:47.6,9
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
12,20,38:23.6,7.556,0.195,192.579,01:47.3,15
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
13,20,38:24.3,8.244,0.688,192.521,01:47.3,20
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
14,20,38:25.3,9.203,0.959,192.441,01:47.6,19
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
15,20,38:26.5,10.463,1.26,192.336,01:48.0,15
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
16,20,38:27.2,11.113,0.65,192.282,01:48.2,20
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
17,20,38:28.3,12.226,1.113,192.189,01:47.4,20
25,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
18,20,38:31.6,15.553,3.327,191.912,01:48.1,15
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
19,20,38:40.0,23.923,8.37,192.048,01:48.3,12
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
20,20,38:52.3,36.266,12.343,191.027,01:47.6,20
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
DNF,15,27:53.4,DNF,-,198.692,01:47.5,11
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
DNF,-,-,DNF,-,-,-,-
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
,,,,,,,
