POS,LAPS,TIME,GAP,INT.,KPH,LAP SET ON,Group
Number / Driver and Team,,,,,,,
1,11,01:21.1,-,-,148.046,15:23:45,A
14,,,,,,,
V. MartinsART Grand Prix,,,,,,,
2,11,01:21.5,0.375,0.375,147.365,15:22:32,A
6,,,,,,,
R. VerschoorMP Motorsport,,,,,,,
3,11,01:21.5,0.398,0.023,147.323,15:27:04,A
4,,,,,,,
A. LindbladCampos Racing,,,,,,,
4,11,01:21.6,0.436,0.038,147.254,15:26:53,A
10,,,,,,,
G. MinìPREMA Racing,,,,,,,
5,11,01:21.7,0.533,0.097,147.079,15:26:56,A
12,,,,,,,
K. MainiDAMS Lucas Oil,,,,,,,
6,10,01:21.8,0.645,0.112,146.878,15:24:35,A
20,,,,,,,
J. DürksenAIX Racing,,,,,,,
7,11,01:21.9,0.764,0.119,146.665,15:22:46,A
2,,,,,,,
R. StanekInvicta Racing,,,,,,,
8,11,01:22.2,1.076,0.312,146.108,15:26:50,A
16,,,,,,,
A. CordeelRodin Motorsport,,,,,,,
9,10,01:22.3,1.154,0.078,145.97,15:22:41,A
8,,,,,,,
D. BeganovicHitech TGR,,,,,,,
10,11,01:22.3,1.185,0.031,145.915,15:26:45,A
22,,,,,,,
S. MeguetounifTRIDENT,,,,,,,
11,11,01:23.0,1.842,0.657,144.76,15:26:36,A
24,,,,,,,
J. BennettVan Amersfoort Racing,,,,,,,
1,12,01:21.1,-,-,148.051,15:54:33,B
17,,,,,,,
A. DunneRodin Motorsport,,,,,,,
2,12,01:21.7,0.546,0.546,147.061,15:54:38,B
1,,,,,,,
L. FornaroliInvicta Racing,,,,,,,
3,10,01:21.7,0.598,0.052,146.968,15:51:55,B
9,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
4,11,01:21.8,0.617,0.019,146.934,15:54:59,B
11,,,,,,,
J. CrawfordDAMS Lucas Oil,,,,,,,
5,11,01:21.8,0.675,0.058,146.83,15:55:12,B
7,,,,,,,
L. BrowningHitech TGR,,,,,,,
6,11,01:22.2,1.037,0.362,146.183,15:54:52,B
15,,,,,,,
R. MiyataART Grand Prix,,,,,,,
7,11,01:22.3,1.203,0.166,145.888,15:55:15,B
5,,,,,,,
O. GoetheMP Motorsport,,,,,,,
8,11,01:22.5,1.312,0.109,145.695,15:49:09,B
3,,,,,,,
J. MartíCampos Racing,,,,,,,
9,12,01:22.6,1.504,0.192,145.357,15:54:42,B
23,,,,,,,
M. EstersonTRIDENT,,,,,,,
10,11,01:24.4,3.3,1.796,142.265,15:51:42,B
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
,,,,,,,B
