Team,Points,Melbourne,Sakhir,Jeddah,Imola,Monaco,Barcelona,Spielberg,Silverstone,Spa-Francorchamps,Budapest,Monza,,,
,,Melbourne,Sakhir,Jeddah,Imola,Monaco,Barcelona,Spielberg,Silverstone,Spa-Francorchamps,Budapest,Monza,Baku,Lusail,Yas Island
,,14-16 Mar,11-13 Apr,18-20 Apr,16-18 May,22-25 May,30-01 Jun,27-29 Jun,04-06 Jul,25-27 Jul,01-03 Aug,05-07 Sept,19-21 Sept,28-30 Nov,05-07 Dec
,,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR
,,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR
1,316,12,1,6,3,2,2,7,16,14,4,14,4,3,0
Invicta Racing,,0,17,12,10,13,0,24,8,35,45,10,10,24,20
2,278,6,6,0,7,6,3,0,0,0,1,4,19,0,5
Hitech,,0,25,8,35,6,0,12,27,22,19,36,15,4,12
3,258,1,14,18,8,1,1,10,0,4,11,9,0,0,17
Campos Racing,,0,16,16,13,5,35,8,7,12,9,15,8,18,2
4,207,0,0,0,10,15,5,0,8,0,6,0,5,1,3
DAMS Lucas Oil,,0,0,21,8,17,18,15,25,0,15,0,27,0,8
5,207,5,14,6,0,4,10,5,2,5,5,5,3,11,4
MP Motorsport,,0,8,26,8,0,15,25,6,0,14,4,4,8,10
6,163,6,2,3,0,11,0,4,9,6,0,2,2,5,0
PREMA Racing,,0,2,2,4,8,19,13,10,8,0,8,14,10,15
7,155,0,0,6,4,1,9,3,0,2,8,0,6,6,1
Rodin Motorsport,,0,25,4,25,4,11,0,18,5,2,0,0,15,0
8,127,0,0,1,8,0,4,3,1,9,5,0,1,0,2
ART Grand Prix,,2,10,15,0,0,6,6,2,22,0,0,1,25,4
9,107,10,0,0,0,0,0,8,4,0,0,6,0,8,8
AIX Racing,,0,1,0,0,0,0,0,0,0,0,18,19,0,25
10,44,0,3,0,0,0,6,0,0,0,0,0,0,6,0
Van Amersfoort Racing,,0,0,0,0,1,0,0,1,0,0,13,6,0,8
11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIDENT,,0,0,0,1,0,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
