Driver,Points,Melbourne,Sakhir,Jeddah,Imola,Monaco,Barcelona,Spielberg,Silverstone,Spa-Francorchamps,Budapest,Monza,Baku,Lusail,Yas Island
,,Melbourne,Sakhir,Jeddah,Imola,Monaco,Barcelona,Spielberg,Silverstone,Spa-Francorchamps,Budapest,Monza,Baku,Lusail,Yas Island
,,14-16 Mar,11-13 Apr,18-20 Apr,16-18 May,22-25 May,30-01 Jun,27-29 Jun,04-06 Jul,25-27 Jul,01-03 Aug,05-07 Sept,19-21 Sept,28-30 Nov,05-07 Dec
,,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR
,,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR
1,211,8,1,2,2,2,2,0,10,11,4,10,4,3,0
L. Fornaroli,,0,17,12,10,10,0,20,8,10,25,10,10,20,0
2,175,0,0,0,10,5,5,0,3,0,6,0,5,1,3
J. Crawford,,0,0,20,8,13,12,15,25,0,15,0,27,0,2
3,170,5,8,6,0,4,10,5,2,0,3,5,3,11,0
R. Verschoor,,0,8,26,2,0,15,25,6,0,10,4,4,8,0
4,162,6,0,0,7,6,3,0,0,0,0,1,8,0,0
L. Browning,,0,19,8,18,6,0,10,15,15,12,27,0,1,0
5,150,0,0,6,4,1,9,3,0,2,8,0,6,4,1
A. Dunne,,0,25,4,25,2,11,0,18,4,2,0,0,15,0
6,134,0,4,10,8,1,1,0,0,0,0,9,0,0,11
A. Lindblad,,0,4,6,13,5,27,0,5,0,8,0,8,12,2
7,116,0,6,0,0,0,0,0,0,0,1,3,11,0,5
D. Beganovic,,0,6,0,17,0,0,2,12,7,7,9,15,3,12
8,112,1,10,8,0,0,0,10,0,4,11,0,0,-,-
J. Martí,,0,12,10,0,0,8,8,2,12,1,15,0,-,-
9,107,10,0,0,0,0,0,8,4,0,0,6,0,8,8
J. Dürksen,,0,1,0,0,0,0,0,0,0,0,18,19,0,25
10,105,4,0,4,1,0,0,7,6,3,0,4,0,0,0
R. Stanek,,0,0,0,0,3,0,4,0,25,20,0,0,4,20
11,97,0,0,1,5,0,4,2,1,8,5,0,1,0,2
V. Martins,,2,10,15,0,0,4,6,2,4,0,0,0,25,0
12,91,3,0,0,0,3,0,4,9,0,0,0,0,5,0
S. Montoya,,0,0,0,4,8,18,13,10,0,0,2,2,10,0
13,72,3,2,3,0,8,0,0,0,6,0,2,2,0,0
G. Minì,,0,2,2,0,0,1,0,0,8,0,6,12,0,15
14,43,0,3,0,0,0,6,0,0,0,0,0,0,6,0
R. Villagómez,,0,0,0,0,1,0,0,1,0,0,12,6,0,8
15,37,0,6,0,0,0,0,0,0,5,2,0,0,0,4
O. Goethe,,0,0,0,6,0,0,0,0,0,4,0,0,0,10
16,32,0,0,0,0,10,0,0,5,0,0,0,0,0,0
K. Maini,,0,0,1,0,4,6,0,0,0,0,0,0,0,6
17,30,0,0,0,3,0,0,1,0,1,0,0,0,0,0
R. Miyata,,0,0,0,0,0,2,0,0,18,0,0,1,0,4
18,12,-,-,-,-,-,-,-,-,-,-,-,-,0,6
N. Tsolov,,-,-,-,-,-,-,-,-,-,-,-,-,6,0
19,3,0,0,0,0,0,0,0,0,0,0,0,0,-,-
A. Cordeel,,0,0,0,0,2,0,0,0,1,0,0,0,-,-
20,2,-,-,-,-,-,-,-,-,-,-,-,0,2,0
M. Stenshorne,,-,-,-,-,-,-,-,-,-,-,-,0,0,0
21,2,0,0,0,0,0,0,0,0,0,0,0,-,-,-
S. Meguetounif,,0,0,0,1,0,0,1,0,0,0,0,-,-,-
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Bennett,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
M. Esterson,,0,0,0,0,0,0,0,0,0,0,0,-,-,-
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C. Shields,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0
L. van Hoepen,,-,-,-,-,-,-,-,-,-,-,-,0,0,0
26,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0
T. Inthraphuvasak,,-,-,-,-,-,-,-,-,-,-,-,-,-,0
27,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-
J. Wharton,,-,-,-,-,-,-,-,-,-,-,-,-,0,-
,,,,,,,,,,,,,,,
