Pos.,Driver,Time,Points
1,Ritomo Miyata,47:21.3,11
2,Emerson Fittipaldi,+2.678s,8
3,Laurens van Hoepen,+3.227s,6
4,Noel Leon,+5.242s,5
5,Martinius Stenshorne,+5.776s,4
6,Rafael Câmara,+6.551s,3
7,Alexander Dunne,+7.099s,2
8,Mari Boya,+8.333s,1
9,Gabriele Mini,+9.419s,0
10,Dino Beganovic,+9.614s,0
11,Roman Bilinski,+10.207s,0
12,Oliver Goethe,+11.514s,0
13,Rafael Villagomez,+13.579s,0
14,Joshua Dürksen,+14.495s,0
15,Tasanapol Inthraphuvasak,+14.970s,0
16,Cian Shields,+17.801s,0
17,Sebastian Montoya,+3 laps,0
NC,Nikola Tsolov,DNF,0
NC,John Bennett,DNF,0
NC,Kush Maini,DNF,0
NC,Nico Varrone,DNF,0
