POS,LAPS,TIME,GAP,INT.,KPH,BEST,LAP
Number / Driver and Team,,,,,,,
1,29,51:22.1,-,-,199.389,01:44.4,28
6,,,,,,,
N. TsolovCampos Racing,,,,,,,
2,29,51:25.3,3.233,3.233,199.18,01:43.0,28
23,,,,,,,
R. VillagómezVan Amersfoort Racing,,,,,,,
3,29,51:30.0,7.881,4.648,198.88,01:44.0,2
16,,,,,,,
K. MainiART Grand Prix,,,,,,,
4,29,51:30.6,8.501,0.62,198.84,01:44.3,10
15,,,,,,,
A. DunneRodin Motorsport,,,,,,,
5,29,51:31.1,9.032,0.531,198.806,01:44.3,10
1,,,,,,,
R. CâmaraInvicta Racing,,,,,,,
6,29,51:37.4,15.3,6.268,198.404,01:43.5,25
9,,,,,,,
G. MinìMP Motorsport,,,,,,,
7,29,51:37.8,15.658,0.358,198.381,01:43.0,27
5,,,,,,,
N. LeónCampos Racing,,,,,,,
8,29,51:39.3,17.22,1.562,198.281,01:44.5,10
8,,,,,,,
R. BilinskiDAMS Lucas Oil,,,,,,,
9,29,51:39.5,17.432,0.212,198.267,01:43.5,27
2,,,,,,,
J. DürksenInvicta Racing,,,,,,,
10,29,51:49.2,27.053,9.621,197.654,01:44.6,10
17,,,,,,,
T. InthraphuvasakART Grand Prix,,,,,,,
11,29,51:51.2,29.138,2.085,197.521,01:43.3,23
25,,,,,,,
J. BennettTRIDENT,,,,,,,
12,29,51:53.4,31.286,2.148,197.385,01:44.6,10
7,,,,,,,
D. BeganovicDAMS Lucas Oil,,,,,,,
13,29,51:54.8,32.733,1.447,197.293,01:44.8,16
22,,,,,,,
N. VarroneVan Amersfoort Racing,,,,,,,
14,29,51:55.4,33.343,0.61,197.255,01:45.2,11
3,,,,,,,
R. MiyataHitech TGR,,,,,,,
15,29,51:55.6,33.467,0.124,197.247,01:43.7,28
12,,,,,,,
M. BoyaPREMA Racing,,,,,,,
16,29,51:55.9,33.754,0.287,197.229,01:44.6,10
4,,,,,,,
C. HertaHitech TGR,,,,,,,
17,29,51:57.4,35.269,1.515,197.133,01:44.5,9
24,,,,,,,
L. van HoepenTRIDENT,,,,,,,
18,29,51:57.5,35.431,0.162,197.123,01:43.1,29
10,,,,,,,
O. GoetheMP Motorsport,,,,,,,
19,29,52:05.2,43.121,7.69,196.638,01:43.4,24
21,,,,,,,
C. ShieldsAIX Racing,,,,,,,
20,29,52:06.6,44.545,1.424,196.548,01:45.5,8
20,,,,,,,
E. FittipaldiAIX Racing,,,,,,,
DNF,16,29:16.7,DNF,-,192.88,01:44.8,9
11,,,,,,,
S. MontoyaPREMA Racing,,,,,,,
DNF,-,-,DNS,-,-,-,-
14,,,,,,,
M. StenshorneRodin Motorsport,,,,,,,
,,,,,,,
