Pos.,Driver,Time
1,Kush Maini,01:28.9
2,Rafael Câmara,01:29.0
3,Noel Leon,01:29.1
4,Joshua Dürksen,01:29.1
5,Tasanapol Inthraphuvasak,01:29.2
6,Laurens van Hoepen,01:29.3
7,Nikola Tsolov,01:29.3
8,Dino Beganovic,01:29.3
9,Gabriele Mini,01:29.3
10,Sebastian Montoya,01:29.5
11,Martinius Stenshorne,01:29.5
12,Rafael Villagomez,01:29.5
13,Oliver Goethe,01:29.6
14,John Bennett,01:29.8
15,Emerson Fittipaldi,01:29.8
16,Nico Varrone,01:29.8
17,Alexander Dunne,01:29.8
18,Colton Herta,01:29.9
19,Cian Shields,01:30.0
20,Roman Bilinski,01:30.1
21,Ritomo Miyata,01:30.1
22,Mari Boya,01:30.4
