,Melbourne,,Miami Gardens,,Montréal,,Monte Carlo,,Barcelona,,Spielberg,,Silverstone,,Spa-Francorchamps,,Budapest,,Monza,,Madrid,,Baku,,Lusail,,Yas Marina,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,Points
Campos Racing,8,25,11,12,11,1,11,28,11,16,1,33,10,32,5,15,0,31,-,-,-,-,-,-,-,-,-,-,261
Invicta Racing,10,19,4,17,2,0,6,2,3,27,1,14,1,14,13,28,7,19,-,-,-,-,-,-,-,-,-,-,187
MP Motorsport,3,16,2,25,8,15,6,0,8,15,4,34,8,8,1,10,11,2,-,-,-,-,-,-,-,-,-,-,176
Rodin Motorsport,7,0,9,0,6,43,3,28,1,18,5,8,0,12,13,13,1,0,-,-,-,-,-,-,-,-,-,-,167
ART Grand Prix,5,8,0,12,0,2,2,12,11,2,2,10,9,16,0,18,7,31,-,-,-,-,-,-,-,-,-,-,147
DAMS Lucas Oil,1,2,1,18,4,0,12,16,2,9,3,1,6,4,8,0,8,8,-,-,-,-,-,-,-,-,-,-,103
TRIDENT,2,16,8,0,5,2,0,0,0,17,10,4,0,0,0,0,6,13,-,-,-,-,-,-,-,-,-,-,83
Hitech,4,16,0,12,0,6,0,8,4,0,0,0,0,0,0,10,0,0,-,-,-,-,-,-,-,-,-,-,60
Van Amersfoort Racing,0,0,5,0,0,9,0,0,0,0,6,0,6,18,0,8,0,0,-,-,-,-,-,-,-,-,-,-,52
PREMA Racing,0,2,0,8,0,16,0,4,0,0,8,0,0,0,0,2,0,0,-,-,-,-,-,-,-,-,-,-,40
AIX Racing,0,0,0,0,4,10,0,6,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,20
