POS,TIME,GAP,Group
Number / Driver and Team,,,
1,01:24.5,-,B
1,,,
T. NaëlCampos Racing,,,
2,01:24.9,0.406,B
5,,,
F. SlaterTRIDENT,,,
3,01:24.9,0.411,B
3,,,
E. RiveraCampos Racing,,,
4,01:25.0,0.557,B
9,,,
A. GiustiMP Motorsport,,,
5,01:25.1,0.658,B
17,,,
P. ClerotRodin Motorsport,,,
6,01:25.2,0.741,B
31,,,
G. XieDAMS Lucas Oil,,,
7,01:25.2,0.743,B
11,,,
M. GładyszART Grand Prix,,,
8,01:25.3,0.8,B
25,,,
J. NakamuraHitech TGR,,,
9,01:25.3,0.837,B
29,,,
N. LacorteDAMS Lucas Oil,,,
10,01:25.5,1.008,B
19,,,
C. HoRodin Motorsport,,,
11,01:25.5,1.009,B
15,,,
E. DelignyVan Amersfoort Racing,,,
12,01:25.5,1.049,B
27,,,
Y. DavidAIX Racing,,,
13,01:25.6,1.178,B
21,,,
J. WhartonPREMA Racing,,,
14,01:25.9,1.448,B
7,,,
M. ColnaghiMP Motorsport,,,
15,01:26.2,1.752,B
23,,,
W. ShinHitech TGR,,,
1,01:24.6,-,A
18,,,
B. BadoerRodin Motorsport,,,
2,01:25.0,0.351,A
2,,,
U. UgochukwuCampos Racing,,,
3,01:25.2,0.63,A
8,,,
T. TaponenMP Motorsport,,,
4,01:25.3,0.696,A
16,,,
B. Del PinoVan Amersfoort Racing,,,
5,01:25.3,0.72,A
4,,,
N. StrømstedTRIDENT,,,
6,01:25.4,0.74,A
14,,,
H. YamakoshiVan Amersfoort Racing,,,
7,01:25.5,0.865,A
10,,,
T. KatoART Grand Prix,,,
8,01:25.7,1.081,A
20,,,
L. SharpPREMA Racing,,,
9,01:25.9,1.266,A
30,,,
N. BhirombhakdiDAMS Lucas Oil,,,
10,01:25.9,1.278,A
26,,,
B. BenavidesAIX Racing,,,
11,01:26.0,1.402,A
12,,,
K. LeART Grand Prix,,,
12,01:26.2,1.596,A
6,,,
M. De PaloTRIDENT,,,
13,01:26.3,1.681,A
22,,,
J. GarfiasPREMA Racing,,,
14,01:26.4,1.775,A
24,,,
F. McLaughlinHitech TGR,,,
15,01:26.8,2.208,A
28,,,
F. BarrichelloAIX Racing,,,
,,,
