Pos.,Driver,Time,Points
1,Freddie Slater,43:51.8,26
2,Ugo Ugochukwu,+1.484s,18
3,Brando Badoer,+3.098s,15
4,Mattia Colnaghi,+3.380s,12
5,Tuukka Taponen,+5.973s,10
6,Ernesto Rivera,+6.830s,8
7,James Wharton,+9.851s,6
8,Louis Sharp,+12.654s,4
9,Christian Ho,+13.192s,2
10,Hiyu Yamakoshi,+13.382s,1
11,Jose Garfias,+14.011s,0
12,Noah Stromsted,+14.554s,0
13,Taito Kato,+14.902s,0
14,Bruno Del Pino,+15.568s,0
15,Pedro Clerot,+15.821s,0
16,Fionn Mclaughlin,+16.326s,0
17,Alessandro Giusti,+16.924s,0
18,Nicola Lacorte,+19.158s,0
19,Nandhavud Bhirombhakdi,+19.748s,0
20,Théophile Naël,+20.607s,0
21,Matteo De Palo,+21.261s,0
22,Woohyun Shin,+21.894s,0
23,Yevan David,+28.042s,0
NC,Enzo Deligny,DNF,0
NC,Fernando Barrichello,DNF,0
NC,Kanato Le,DNF,0
NC,Salim Hanna,DNF,0
NC,Jin Nakamura,DNF,0
NC,Gerrard Xie,DNF,0
NC,Maciej Gladysz,DNF,0
