Pos.,Driver,Time,Group
1,Kanato Le,01:38.2,A
2,Taito Kato,01:38.2,A
3,Hiyu Yamakoshi,01:38.3,A
4,Fernando Barrichello,01:38.3,A
5,Tuukka Taponen,01:38.5,A
6,Brando Badoer,01:38.7,A
7,Bruno Del Pino,01:38.9,A
8,Noah Stromsted,01:38.9,A
9,Ugo Ugochukwu,01:39.0,A
10,Nandhavud Bhirombhakdi,01:39.1,A
11,Jose Garfias,01:39.5,A
12,Alex Powell,01:39.7,A
13,Fionn Mclaughlin,01:41.1,A
14,Ricardo Escotto,01:41.3,A
DQ,Matteo De Palo,DSQ,A
1,Freddie Slater,01:38.1,B
2,Nicola Lacorte,01:38.4,B
3,Ernesto Rivera,01:38.4,B
4,Alessandro Giusti,01:38.6,B
5,Mattia Colnaghi,01:38.6,B
6,Pedro Clerot,01:38.7,B
7,Gerrard Xie,01:38.9,B
8,James Wharton,01:38.9,B
9,Maciej Gladysz,01:39.0,B
10,Yevan David,01:39.2,B
11,Enzo Deligny,01:39.3,B
12,Woohyun Shin,01:39.4,B
13,Christian Ho,01:39.8,B
NC,Théophile Naël,,B
NC,Jin Nakamura,,B
