Pos.,Driver,Time,Points
1,Tuukka Taponen,37:25.4,26
2,Ugo Ugochukwu,+1.398s,18
3,Pedro Clerot,+2.302s,15
4,Taito Kato,+2.701s,12
5,Mattia Colnaghi,+3.321s,10
6,Alessandro Giusti,+3.827s,8
7,Enzo Deligny,+4.311s,6
8,Freddie Slater,+4.780s,4
9,Ernesto Rivera,+5.222s,2
10,Yevan David,+5.625s,1
11,Brando Badoer,+6.065s,0
12,Théophile Naël,+6.480s,0
13,Alex Powell,+7.117s,0
14,Fionn Mclaughlin,+7.766s,0
15,Jin Nakamura,+8.758s,0
16,James Wharton,+9.532s,0
17,Bruno Del Pino,+10.056s,0
18,Matteo De Palo,+10.865s,0
19,Kanato Le,+11.849s,0
20,Nicola Lacorte,+13.134s,0
21,Noah Stromsted,+14.011s,0
22,Maciej Gladysz,+14.554s,0
23,Fernando Barrichello,+15.101s,0
24,Niccolò Maccagnani,+15.619s,0
25,Woohyun Shin,+20.893s,0
26,Jose Garfias,+47.420s,0
27,Nandhavud Bhirombhakdi,+1 lap,0
NC,Hiyu Yamakoshi,DNF,0
