Pos.,Driver,Time
1,Taito Kato,01:50.5
2,Pedro Clerot,01:50.5
3,Tuukka Taponen,01:50.6
4,Ugo Ugochukwu,01:50.7
5,Enzo Deligny,01:50.7
6,Jin Nakamura,01:50.9
7,Ernesto Rivera,01:50.9
8,Alessandro Giusti,01:50.9
9,Bruno Del Pino,01:50.9
10,Alex Powell,01:51.0
11,Théophile Naël,01:51.1
12,James Wharton,01:51.1
13,Matteo De Palo,01:51.1
14,Fionn Mclaughlin,01:51.2
15,Yevan David,01:51.2
16,Mattia Colnaghi,01:51.2
17,Freddie Slater,01:51.2
18,Hiyu Yamakoshi,01:51.3
19,Maciej Gladysz,01:51.3
20,Kanato Le,01:51.4
21,Nicola Lacorte,01:51.6
22,Brando Badoer,01:51.8
23,Jose Garfias,01:51.8
24,Woohyun Shin,01:51.9
25,Fernando Barrichello,01:51.9
26,Noah Stromsted,01:52.2
27,Niccolò Maccagnani,01:52.7
28,Nandhavud Bhirombhakdi,01:52.9
